Id,Target
v_009evckk5b_0000,1 533.545 1016.865 77.75 35.87 0;1 909.665 843.46 38.17 86.5 0;1 915.965 949.2 32.35 77.3 0;1 918.505 1048.55 35.61 62.9 0;1 932.185 399.935 35.25 81.19 346.35;1 962.46 888.865 33.82 76.87 0;1 966.34 1047.37 38 65.26 0;7 1680.19 132.055 118.4 49.67 0
v_009evckk5b_0001,1 533.59 1016.865 77.74 35.87 0;1 909.645 843.44 38.17 86.5 0;1 915.915 949.24 32.35 77.3 0;1 918.405 1048.55 35.81 62.9 0;1 929.94 391.535 35.26 81.19 345.5;1 962.55 884.785 33.82 76.87 0;1 966.34 1046.085 38 67.83 0;7 1663.82 131.84 118.4 49.68 0
v_009evckk5b_0002,1 533.64 1016.865 77.74 35.87 0;1 909.625 843.43 38.17 86.5 0;1 915.855 949.29 32.35 77.3 0;1 918.305 1048.55 36.01 62.9 0;1 927.695 383.135 35.25 81.19 344.65;1 962.65 880.695 33.82 76.87 0;1 966.34 1044.795 38 70.41 0;7 1648.78 131.84 118.4 49.68 0
v_009evckk5b_0003,1 533.69 1016.865 77.74 35.87 0;1 909.605 843.41 38.17 86.5 0;1 915.805 949.34 32.35 77.3 0;1 918.205 1048.55 36.21 62.9 0;1 925.455 374.735 35.25 81.19 343.8;1 962.74 876.615 33.82 76.87 0;1 966.34 1043.51 38 72.98 0;7 1633.73 131.84 118.4 49.68 0
v_009evckk5b_0004,1 533.74 1016.865 77.74 35.87 0;1 909.585 843.39 38.17 86.5 0;1 915.745 949.39 32.35 77.3 0;1 918.195 1048.55 36.23 62.9 0;1 923.21 366.335 35.26 81.19 342.95;1 962.84 872.525 33.82 76.87 0;1 966.34 1042.225 38 75.55 0;7 1618.68 131.84 118.4 49.68 0
v_009evckk5b_0005,1 533.785 1016.865 77.75 35.87 0;1 909.565 843.38 38.17 86.5 0;1 915.695 949.44 32.35 77.3 0;1 918.18 1048.55 36.26 62.9 0;1 920.965 357.935 35.25 81.19 342.1;1 962.93 868.445 33.82 76.87 0;1 966.34 1040.935 38 78.13 0;7 1603.64 131.84 118.4 49.68 0
v_009evckk5b_0006,1 533.83 1016.865 77.74 35.87 0;1 909.545 843.36 38.17 86.5 0;1 915.635 949.48 32.35 77.3 0;1 917.455 350.045 35.25 81.19 341.2;1 918.17 1048.55 36.28 62.9 0;1 963.03 864.365 33.82 76.87 0;1 966.34 1039.65 38 80.7 0;7 1588.59 131.84 118.4 49.68 0
v_009evckk5b_0007,1 533.88 1016.865 77.74 35.87 0;1 909.52 843.35 38.18 86.5 0;1 913.945 342.155 35.25 81.19 340.3;1 915.585 949.53 32.35 77.3 0;1 918.16 1048.55 36.3 62.9 0;1 963.12 860.275 33.82 76.87 0;1 966.34 1036.025 38 82.25 0;7 1573.54 131.84 118.4 49.68 0
v_009evckk5b_0008,1 533.93 1016.865 77.74 35.87 0;1 909.5 843.33 38.18 86.5 0;1 910.435 334.265 35.25 81.19 339.4;1 915.525 949.58 32.35 77.3 0;1 918.145 1048.55 36.33 62.9 0;1 963.06 858.755 33.82 76.87 0;1 967.61 1033.48 38 82.24 0;7 1558.5 131.84 118.4 49.68 0
v_009evckk5b_0009,1 533.98 1016.865 77.74 35.87 0;1 906.925 326.375 35.25 81.19 338.5;1 909.48 843.31 38.18 86.5 0;1 915.475 949.63 32.35 77.3 0;1 918.135 1048.55 36.35 62.9 0;1 962.99 857.235 33.82 76.87 0;1 967.44 1030.425 38 82.25 0;7 1543.45 131.84 118.4 49.68 0
v_009evckk5b_0010,1 533.88 1016.985 77.74 35.87 0;1 903.415 318.485 35.25 81.19 337.6;1 909.46 843.3 38.18 86.5 0;1 915.42 949.67 32.34 77.3 0;1 918.125 1048.55 36.37 62.9 0;1 962.93 855.715 33.82 76.87 0;1 967.27 1027.375 38 82.25 0;7 1528.4 131.84 118.4 49.68 0
v_009evckk5b_0011,1 533.79 1017.105 77.74 35.87 0;1 899.905 310.595 35.25 81.19 336.7;1 909.44 843.28 38.18 86.5 0;1 915.365 949.72 32.35 77.3 0;1 918.11 1048.55 36.4 62.9 0;1 962.87 854.195 33.82 76.87 0;1 967.1 1024.325 38 82.25 0;7 1513.35 131.84 118.4 49.68 0
v_009evckk5b_0012,1 533.69 1017.225 77.74 35.87 0;1 896.395 302.705 35.25 81.19 335.8;1 909.42 843.27 38.18 86.5 0;1 915.31 949.77 32.34 77.3 0;1 918.1 1048.55 36.42 62.9 0;1 962.8 852.675 33.82 76.87 0;1 966.935 1021.275 37.99 82.25 0;7 1499.78 131.73 117.92 49.68 0
v_009evckk5b_0013,1 533.595 1017.345 77.75 35.87 0;1 892.885 294.815 35.25 81.19 334.9;1 909.4 843.25 38.18 86.5 0;1 915.255 949.82 32.35 77.3 0;1 918.09 1048.55 36.44 62.9 0;1 962.74 851.155 33.82 76.87 0;1 966.765 1018.225 37.99 82.25 0;7 1486.205 131.62 117.43 49.68 0
v_009evckk5b_0014,1 533.5 1017.465 77.74 35.87 0;1 889.37 286.925 35.26 81.19 334;1 909.38 843.23 38.18 86.5 0;1 915.2 949.87 32.34 77.3 0;1 918.075 1048.55 36.47 62.9 0;1 962.68 849.635 33.82 76.87 0;1 966.87 1015.045 38 82.25 0;7 1472.63 131.51 116.96 49.68 0
v_009evckk5b_0015,1 533.4 1017.585 77.74 35.87 0;1 885.86 279.04 35.26 81.18 333.1;1 909.36 843.22 38.18 86.5 0;1 915.145 949.91 32.35 77.3 0;1 918.065 1048.55 36.49 62.9 0;1 962.61 848.115 33.82 76.87 0;1 966.975 1011.865 37.99 82.25 0;7 1459.055 131.4 116.47 49.68 0
v_009evckk5b_0016,1 533.31 1017.705 77.74 35.87 0;1 880.805 272.165 35.25 81.19 331.38;1 909.34 843.2 38.18 86.5 0;1 915.09 949.96 32.34 77.3 0;1 918.055 1048.55 36.51 62.9 0;1 962.55 846.595 33.82 76.87 0;1 967.08 1008.685 38 82.25 0;1 1888.625 268.645 62.75 35.97 0;7 1445.48 131.29 116 49.68 0
v_009evckk5b_0017,1 533.21 1017.825 77.74 35.87 0;1 875.755 265.295 35.25 81.19 329.66;1 909.32 843.185 38.18 86.49 0;1 915.035 950.01 32.35 77.3 0;1 918.04 1048.55 36.54 62.9 0;1 962.49 845.075 33.82 76.87 0;1 967.185 1005.505 37.99 82.25 0;1 1874.325 268.65 86.85 35.98 0;7 1431.905 131.18 115.51 49.68 0
v_009evckk5b_0018,1 533.115 1017.945 77.75 35.87 0;1 870.705 258.42 35.25 81.18 327.94;1 909.3 843.17 38.18 86.5 0;1 914.985 950.06 32.35 77.3 0;1 918.03 1048.55 36.56 62.9 0;1 962.49 845.065 33.82 76.87 0;1 967.185 1002.2 37.99 82.24 0;1 1847.605 269.095 86.85 35.97 0;7 1418.33 131.07 115.04 49.68 0
v_009evckk5b_0019,1 533.02 1018.065 77.74 35.87 0;1 865.65 251.545 35.26 81.19 326.22;1 909.28 843.15 38.18 86.5 0;1 914.925 950.11 32.35 77.3 0;1 918.02 1048.55 36.58 62.9 0;1 962.49 845.055 33.82 76.87 0;1 967.185 998.895 37.99 82.25 0;1 1820.885 269.54 86.85 35.98 0;7 1404.755 130.96 114.55 49.68 0
v_009evckk5b_0020,1 532.92 1018.065 77.74 35.87 0;1 860.595 244.675 35.25 81.19 324.5;1 909.26 843.14 38.18 86.5 0;1 914.875 950.15 32.35 77.3 0;1 918.005 1048.55 36.61 62.9 0;1 962.49 845.045 33.82 76.87 0;1 967.19 995.585 38 82.25 0;1 1794.165 269.985 86.85 35.97 0;7 1391.18 130.85 114.08 49.68 0
v_009evckk5b_0021,1 532.83 1018.065 77.74 35.87 0;1 855.545 237.805 35.25 81.19 322.78;1 909.24 843.12 38.18 86.5 0;1 914.815 950.2 32.35 77.3 0;1 917.995 1048.55 36.63 62.9 0;1 962.49 845.025 33.82 76.87 0;1 967.19 992.285 38 82.25 0;1 1767.445 270.435 86.85 35.97 0;7 1377.605 130.74 113.59 49.68 0
